message	domain
Plz find no. for Travels	travel
Nearest museum	nearby
I want to know that there is any train for goa from jaipur on 30th nov	travel
Swimming classes	nearby
Switzerland tour	travel
Do not call me for any reminder	reminders
I want a cab from meerut to ghaziabad tomorrow	travel
Any packages?	travel
Help me with train odisha sampark kranti exp and neelanchal sf exp...I want to know te train routes...	travel
8406558227 check pnr status	travel
Nw I am chemin for a shoe	shopping
Can you filter hotels which allow unmarried couples	travel
Hey hie..Any BMTC bus from Majestic to Bangalore Airport at night	travel
Find me the lowest price available online for the product mentioned above	shopping
I m looking fr 7 days pack	recharge
have u placed my order?	food
Pls share  nearest hookah bar	nearby
Kindly remind to call MMC today at 11.30..am on my number 7666992101	reminders
Bank of india ATM	nearby
Actually i want a state Bank of India atm	nearby
is there any local train from dgp to dhn at 5.40	travel
When my order ces	food
Find me trains from LDH to ASR	travel
Can you find out if any restaurant or food delivery site is taking orders today in Bangalore	food
Nearest airport	travel
I want to buy S-SHOCK BOYS SPORTS Analog-Digital Watch - For Boys{product_id:3370, product_name:S-SHOCK BOYS SPORTS Analog-Digital Watch - For Boys, api_id:, api_name:deal_of_day}{carousel_cta}	shopping
Hotels in Raipur near railway station?	travel
Need a bulk biryani order	food
Sbi?	nearby
Hello could you pls tell me the train fare travelling from khanna to nanded ?	travel
i may to usa	travel
Can you help me find the nearest reliance store.....	nearby
Distance  from  subas nagar,brahmapur  to brahmapur new bus stand	travel
I want to purchase Power bank	shopping
I want to book taxi for AHMEDABAD can u arrange	travel
How's darshan restaurant.. Near deccan gymkhana	food
Please give me a reminder call on this number 8892232232 for vendors meeting	reminders
Car polish at home	shopping
Stop the remainder for wake up ...	reminders
Dinner	food
19225 train jalandhar se Jammu k liye sleeper CH seat h ky	travel
Can u check flight tickets for Kolkata from Goa on 24th Dec	travel
I needed maggi masala packet of 6	food
Non Its not reached yet. The shipping of snapdeal is very very worst. Pls  do not put any of my order from this site. I will give 0 out of 10 to snapdeal.	shopping
Deeeeeeeeee	travel
In Flipkart shipping address is not available	shopping
Hai I want to go morbi in Gujarat from madurai after Diwali which is the low price and I need a low traveling hours also	travel
I want to book ticket in Gujarat Mail in 3AC on 16th September late night from Mumbai to Anand	travel
Budget 1500	shopping
Hot Maggi noodles kitne ka hae	food
See continue to chek the low rate product & offer on spekars iball & other product	shopping
Can i check in at hotel after 1 hour... ?	travel
Train live status 11040 @Chalisgaon station	travel
Okay, the to-do list reminder is set. We will remind you via a call at 09:00 am on Sat, 24 September. Take care :)	reminders
Malaysia visa	travel
What is price of oppo neo 7	shopping
Is there any train from rudrapur city to gaya?	travel
Any theatre	movies
Hey do u have marco pizza's menu?	food
Icici bank atm near Wadala east	nearby
I need 2 rooms with swimming pool	travel
South Indian food delivery	food
any promo code on uber rides	travel
Flight status 9W816?	travel
I don't need an everyday reminder	reminders
Zingy Parcel {product_id:1600177,product_name:Dominos,api_id:,api_name:zomato}	food
Plz tell me where is swimming pool ....??	nearby
I want to travel to kasol from Jaipur	travel
Still there is no reminder	reminders
I want to go Damanjodi from Bhubaneswar	travel
Mobile speakers	shopping
Is there any offer available on dominoz	food
Have you called back in rangoli dresses for cargo pants?	shopping
Semi sleeper non a/c	travel
I want to buy VR BOX Virtual Reality (VR BOX) 2.0 Version VR 3D Glasses with Bluetooth Remote(Smart Glasses){carousel_cta}	shopping
check pnr 6759523690	travel
Veg kolhapuri	food
What movies are released recently in tamil	movies
Pl. Check any 4G offers on my mobile no. 9849042217	recharge
Wake me up sharp at 5 today morning	reminders
Tel me fligjts from patna to delhi today	travel
Need 4 room	travel
Goa package	travel
Find me nearby theatres	nearby
I want to buy headphones	shopping
I want menu of celebration hotel	food
Place to visit in agra and also give distance from my hotel taj inn	travel
Iphone 7 pro	shopping
Want to know the price of flight from Ahmedabad to London heathrow which reaches London at 1.15 p.m. at London	travel
So the flight u have suggested is a direct flught or a connecting flight	travel
I need veg chocolate cake from Karachi	food
Cancel my ticket	travel
Icici bank atm	nearby
3 adults and 1 children	travel
I want to visit North India on a vacation	travel
Good evening I want to see movies in tenali city	movies
Dominos discount coupon	food
please place the order for 1 half hyderabadi biryani from Aalam chicken	food
Want to recharge aircel 3g can you please tell me bout the plans	recharge
I want book a cab	travel
Cancel all the reminder please	reminders
Hey can you please tell me nearest punjab national bank branch in surat	nearby
Best rate for iphone 6 16gb plz	shopping
Only one ticket	movies
Reserve a table	food
I want to know the branches of state bank of India nearby me	nearby
1 ticket 50 off ay all ticket	movies
Tell me best discount or cashback offers for bill payment of Tata docomo	recharge
Remind me today at 3 pm to call Abdul Kalam 9886348185 by calling as well as by sms	reminders
TCN express	travel
I need to book a flight ticket from canada yyz airport on 30th sep and land bangalore on oct 1st and return flight from bangalore on oct 8th to canada yyz airport	travel
search from Jaipur or ajmer	travel
I want train time table from wardha to Badnera	travel
from call	reminders
Is the seat confirmed?	travel
Brand of socks??	shopping
Hi can i get the address of hotel rahi coral beach resort calungate goa.eith contact no of hotel	travel
Find gym	shopping
Can I book cabs	travel
Best roll  making street food restaurant	food
I want it to be set for daily	reminders
In tatkal	travel
Coromondal express or tjp express have available seats on 20th Nov in 3rd ac	travel
Is there any homeopathy shop nearby..?	nearby
Heyy are there any offers in dominoes today?	food
my budget is 7000 and i dont want the brands like intex lava micromax panasonic...	shopping
Means 3000 Ka Product leya	shopping
I am looking for running shoes preparing for marathon... Pl suggest	shopping
Check in on 10th	travel
Cheapest price for JBL Flip 2 speakers online!?	shopping
Hi sir , in airtel 199rs my plan if I select all packs for call purpose 2g data is charged or limited ?	recharge
Plz don't call me everytime	reminders
What is finger food?	food
Pls suggest me ICICI Bank ATM	nearby
So I will get a reminder in d nite rite	reminders
Which 1 is cheese bust pizza ?	food
6658716502 pnr status	travel
Is there any bus from chandigarh to pathankot or jammu	travel
blade of Trimmer	shopping
Train number 17214	travel
check the status of praygaraj 3ac	travel
What is the address of servicing centre of iball mobile in midnapur town	support
Hey i want to travel latur to pune on 24sep evening can get reservation of sleeper class	travel
HSBC atm	nearby
We need online banking for the tickets?	movies
I need Ladies T-shirt n size is 3xl	shopping
Remind me to recharge tomorrow@11 am	reminders
Such a shirt  dual options party & like office	shopping
Hello I want to get a pair of good custom made shoes in New Delhi. Can you help	shopping
16 GB	shopping
Could u tell me cost of iPhone 7	shopping
I want book train ticket	travel
I had requested for a change of name of one of the passengers for the chennai Kolkata flight for which I am still waiting for the fresh ticket from the airline or your end.	travel
Hotel in Vrindavan on12 September	travel
Hey, I want to buy a mobile phone. And i heard u have some deals for me?  Can you help?	shopping
Want a cab for site seeing Agra for full one day.want to start from radisson blue hotel,Greater noida.	travel
15215 train status	travel
I want to send the ticked which I have already book on 7 th October and 12 th October for my mom .she received a ticket from irctc but it contains no details of her seat number and birth.	travel
Book huma	travel
Is incoming roaming free on reliance gsm?	recharge
Hi can u web check in for me	travel
Cheapest Lucknow to delhi flight on 18th september	travel
Bagdogra to Mumbai	travel
Yes in forum	movies
Show me some socks	shopping
Can you tell me best bluetooth inear earphones in budget 1k having good sound quality?	shopping
what are buffet rates for barbeque nation	food
Plan bato. Data	recharge
No.i want chicken biryani	food
Call me in 10 minutes	reminders
Which train will cross carmelaram R S departing from Kolkata to Bangalore??	travel
Plz tell me which telecome compney is giving cheapest 2g data plan in up east for 28 days	recharge
Hey i need the map route of bike hire in Chennai	nearby
Nike showroom	shopping
I want to order from mi marathi	food
Z2 is available in gold or not	shopping
From which station Karnataka express 12627 starts ?	travel
I want to buy a car	shopping
Best place for corporate outings in pune...for lunch	food
I want recharge my Tata sky DTH	recharge
Any cab service?	travel
oppo f1 plus exchange price in front of huwaie p9	shopping
Cancel the wakeup call	reminders
get me best shoes	shopping
Book an hotel	travel
Chinese restaurant in Chennai	food
I need to have pizza	food
Best red lipsticks	shopping
What about replica watches ?	shopping
Hi i want a tshirt	shopping
Donna biriyani	food
I need memori card 32gb	shopping
Hey, can you remind me about my upcoming meeting?{task}	reminders
Railu bhanush moive  in which theater in kurnool	movies
How much will it cost to rent a cab from my location to kolkata,???	travel
I want to eat yummy roasted chicken	food
Back case for moto x play	shopping
What is the fare of 2s	travel
Can you do location based reminders?	reminders
Are there local trains running from pune to lonavla?	travel
Any Union bank of India atm?	nearby
Hey.. Suggest some current style trends for men..	shopping
Remind me for Swati's birthday on 23 September 2016 at 2300 hrs	reminders
Mobile buy	shopping
i need menu of mocha cafe indore	food
Hey can i order some food on train, suryanagri express from jodhpur to bandra date of journey 17/9/16	travel
Show me top that matches  with blue  long  skirt.	shopping
Looking to buy a pack of ice cubes	shopping
I need a ear phones with deep bass and mic in a good brand	shopping
What product??????	shopping
Please check best deals for aquasure water purifier prime	shopping
Seat no	travel
I haven't received tour package details through email	travel
Can you tell me the nearest idfc bank branch	nearby
Hi I want to buy a lab	shopping
Flight ticket from guwahati to agartala at minimum cheap price between	travel
Socks ka kya krunga me?? ?already 3pair socks h mere pas..	shopping
Please get rid of these reminders. Thank you.	reminders
Service centre address in munbai	support
I didn't get call today mrng	reminders
Can I have an address for nearest pizza hut outlet near dhairy pune	food
I want gowns for girls	shopping
Hey....can u tell me the best route to go from marol naka to nerul today evening....	travel
See again I didn't get the reminder	reminders
plz check show time punjabi movie  tiger maal Ludhiana silver arc pvr	movies
Buses from Nagawar to majestic	travel
Surat tu saputara train	travel
I asked train station...not metro	travel
Inkokkadu Telugu movie	movies
Let's me know any ksrtc bus from palakkadu to tirur	travel
Hi deepika... I am hungry..... Want to have something spicy in continental	food
Find me a atm	nearby
Remind me for report of ITL HEAD LAMP project from Ashok @ 10:00 am tomorrow	reminders
Can u book a table for 5 at the Nanking Paradise	food
Please find nearby Pooja Shop in Lucknow Gomtinagar Vishwash Khand Nehru Enclave	nearby
Samsung galaxy x4 gt 19500 ka full body chahiye	shopping
show me apple i phone 5s with discount	shopping
Plenty call on7049014188	reminders
Yes it's Airtel	recharge
Can u give me train details	travel
Can you assist me local data plans on videocon sim?	recharge
Nearby bag store	nearby
Could please help me finding and buying a gift for my girlfriend ??	shopping
Any discount on mobile postpaid bill	recharge
Acha bank branch	nearby
Looking some brands	shopping
I want to buy shaver with attached trimmer	shopping
Formal shoes	shopping
I want to knew d fare frm Chennai to Bhubaneswar	travel
Table reservation	food
Hi want flight from Bangalore to Hyderabad  along with hotel 4 star in and around Lakdikapul ka pull Hyderabad.  Date 18/10/2016_20/10/2016	travel
I want bar with restaurant	food
Please told a socks mrp price	shopping
looking for mall around me	movies
Can u tel me package for pune to Goa ?	travel
Hi need a reminder of on 24th evening	reminders
Imphal to singapur	travel
Msd tickets	movies
Please book 2 tickets for 11026 ..	movies
How can convert idea 3g sim into idea 4g	recharge
Change my wake up alarm to 10:30 am just for today. I don't want any call at usually timing today	reminders
i need plane tickets feom hyderabad to mumbai either next week friday night or saturday morning	travel
Mall near by me	movies
Oppo phones	shopping
Hey ,I need a cab from borivali station	travel
I wana order food	food
I cant found chinese menu	food
I want to purchase herbalife product F1 mango	shopping
Please find me easiest way of travelling from Jaisalmer to Mumbai on 10th of November	travel
I want to buy something..	shopping
Hotel or rooms	travel
Recommend me a non oyo property	travel
Any atm of Bank of Maharashtra	nearby
Any nearby reliance store	nearby
I want idbi bank	nearby
Want to book train tickets	travel
Yes... May I know govt bus..	travel
Any train chandigarh to delhi on Saturday	travel
I want to know about availability of  bikes from Chandigarh to Manali	travel
bus stop of allahabad	travel
Hi , I am in london in the first week of October . I have already made my travel and stay arrangements I was looking to see all the tourist sites such as the London eye, madam Tusards , bucking ham palace, Harry Potter world could you hook us up with some packages for the same along with metro tube tickets or hop of and on busses for the trip	travel
Can u find a train for this Saturday from Bengaluru to erode	travel
Plan a trip to girl forest and ran of kutchh for 3 days during Diwali.	travel
Can I know the review of shallow..!!	movies
Drink service centre Kolkata phone number?	support
Please dont call me	reminders
Call on Monday at 9 pm to add mom points	reminders
Now Movies At Mg Club	movies
Data plans	recharge
Please Get me options for hotel in Ahmedabad city	travel
I would like to know the baggage allowance of air India flight to France	travel
Distance between orion mall and buddha theme park	movies
I juz want a 16gb memorycard	shopping
Remind me to leave at	reminders
Hmare area me ola ka cab avileble hai	travel
I want atm nearby	nearby
Seat available in19223 on 12/09/16 from jodhpur to bhatinda class SL.	travel
Punjabi food	food
Please track my order on snapdeal	shopping
Please tell me the price of the iphone 6	shopping
Stop all reminder that i hv set	reminders
What is the best offer for my number?	recharge
I want to buy mi pad	shopping
Show me the details of iphone 7 and 7 plus including pics	shopping
I don't need reminder pl atop	reminders
How to check last balance deductions in aircel sim	recharge
Can u find rooms	travel
Hey I want breakfast	food
Speakers	shopping
today shows	movies
Auto/cab booking please	travel
Axis bank deposit machine	nearby
Show me some fitness bands	shopping
Trivandrum to bangalore on 6th can I get afternoon flight	travel
Safe hotels for couples in	travel
Hi I need to reach Kanpur airport by 3 pm tomorrow	travel
I want to order from The Hangout Pizza Hub.{ids: 4555021-2-17808531-thehangoutpizzahub} {carousel_cta}	food
tnx for ur reminders	reminders
I wanna buy casual shoes	shopping
Plans btado	recharge
Do u have vivo v3max in rose gold with bajaj  EMI	shopping
Hey, can you check the status of a flight?{task}	travel
TmrwIs, der train running from nellayi to ernakulam ?	travel
Pala universal theater	movies
Black dog price	shopping
Once more coaching classes comerce	nearby
What is difference in eveready  cell ? Different colour red, blue, yellow	shopping
Kindly activate DND on my mobile	reminders
What type of socks	shopping
Is there any ATM in khoor	nearby
Hi can u pls check the availability of trains that goes to Salem on 7th of October ?	travel
I need cab from jalandhar to dilhara h.p	travel
Plz again schedule for me at 1 am	reminders
Yes i wan place the order	shopping
Is there any place for veg tunday kabab	food
Hi I want Samai rice	food
Restaurant Name: Agra chaat	food
I want to know about train from dayabsti to rohtak in next 2 hours	travel
More options from samsung anx sony	shopping
Woke up already	reminders
I get daily call at 6pm as a daily reminder . Can it be cancelled and can i just get a message ?	reminders
Skull candy service centre	support
May i know plzz how to use my jio 4g in 3g cell phone	recharge
Pest control number	support
Is kabali yet available in luxe-cinemas-chennai	movies
9 Oct train or flight to Delhi....	travel
I want black clor	shopping
Sexy bikini dress	shopping
Tell the daily timing of bus services from chandigarh to reckong peo	travel
Laptops range between 30000 to40000	shopping
I need toughfen glass for my mobile	shopping
Order o pizza	food
I want to buy sunglasses	shopping
It's Samsung Galaxy j7 2016	shopping
Is flight is on time....	travel
Ok do me another help. Can  just tell me which wd b da cheapest flight from bbsr to mumbai on 27th	travel
I want local bus details	travel
Ranakpur express	travel
Will dis remind m for every month .	reminders
Lenovo laptop service	support
Icici ATM	nearby
I want no calls from  your end to wake me up remember	reminders
Can u give me some moto g company mobile names which is 4g volte and with good camera quality under 10000	shopping
Tell me about AC bus Tata to ranchi	travel
Malls nearby	nearby
Hey there, can you help with booking flight tickets	travel
Ram 8gb	shopping
i want to know whether bmtc buses or private buses will run in bangalore tmrw??	travel
Dominoes	food
Can you find out on which terminal flight indigo	travel
Davangere to Mumbai 16th sep note.	travel
15k	shopping
hey i am looking for addidas gym bag .. can u help me on tht	shopping
Inkokodu movie show timings	movies
SBI pls	nearby
I want packing material for shoes	shopping
Cost effective flight from Raipur to Bhopal on the 12th of this month?	travel
Women's	shopping
Train booking AMLI to JAJPUR 8th September	travel
Remind me to go for vaccination for tiger at 8.30 am on Saturday 1st october	reminders
Check my PNR no of nadigaram express	travel
Best/Quality headphones under 500	shopping
Book a flight to Chandigarh from mumbai on 13th October 2016	travel
OK pls send Nagpur to Mumbai rates of flights	travel
KFC jamnagar	food
Meeting with vmg and EES	reminders
I have a problem with the DNS server in my laptop	support
Can i get bus tickets for travelling from kolkata to Bhubaneswar	travel
Hey can u cal me after 5 min.. because I have some work..	reminders
Can I have a wake up call?	reminders
Kochavva Paulo Ayyappa Coelho  malayalam movie rating	movies
I want to know that is there ticket need in train for 5 yrs children	travel
Socks? Gimme a link	shopping
Alright, your meeting reminder has been set to meet with Abhishek from Zee Marudhara, venue is Hotel Marriott Jaipur at 11:00 PM on Mon, 26 September. You will receive a call from us at that time. Have a great day.	reminders
What's the train fare from belgaum to mumbai	travel
Majnu movie tickets	movies
Pls cancel all reminders	reminders
Unlimited Vodafone internet plz	recharge
Sir it's confirm tickets ?	travel
Are there any offer on pizza nearby	food
Require every year reminder	reminders
What abt sleeper class	travel
How to upgrade 3g to 4g service in airtel	recharge
Krishna Lunch Home	food
Price of pizza	food
Nearest Mall	movies
What about Switzerland,germany,italy?	travel
Can u plz modify all the above reminders time to 1pm at all the three dates	reminders
Is there any train available on 24 sep. From bareilly to lko.?	travel
Grocery store	shopping
M hungry	food
Pair of 1 socks cost?	shopping
i want union bank	nearby
price and features of iphone 7	shopping
Banjo review	movies
I want to reschedule my flight	travel
Find restaurant	food
I want to buy bike riding gloves can you tell me address from where I can buy this in bharuch.	shopping
I change my flight ticket	travel
Can you please let me know what is the British airways economy class baggage allowance for flights from Mumbai to London	travel
sydicate bank	nearby
Train fair from Chennai to madurai	travel
Hey, I want to book train tickets.Hi	travel
Any offers on recharge of Vodafone	recharge
What are the new upcoming Tamil movies this Friday?	movies
Remind me for do home work	reminders
I want to buy amul kool	shopping
Rs.50 is on 1 ticket	movies
Tickets available for Vijay sethupathi movie	movies
iPhone 7plus details	shopping
I need to buy a godrej cupboard	shopping
I neead cold coffee and ice cream box from baskin robbin	food
I wanna go from yeshwantpur to mg road by metro	travel
Dont call me...just give me a message only	reminders
Set reminder for tomorrow after 10 am.. I need to fillup my scholarship form	reminders
I want to order food	food
Hello I want Nike shoe for ne	shopping
Prefer me to one day trip from surat.	travel
Indian bank	nearby
I need lehenga	shopping
Pen camera	shopping
Hi... can you suggest some good places near goa? I want to plan 5 days holiday	travel
I want to watch new Hindi movie realese on 2016	movies
Find me the nearest allahabad atm	nearby
Hello Alokita ! Can you tell me which is nearest Metro station from my location?	nearby
New releases film	movies
What is the cheap flight	travel
Are you help me about reliance jio sim?	recharge
I want pair ring for couples	shopping
Hi how can I cancel my restaurant reservation	food
Nike or addidas	shopping
Best 5 star hotel in chennai	travel
Get me a nearest resort with food and swimming pool	travel
I want Chicco light weight plus stroller	shopping
Looking for good veg restaurants in egmore near railway station	food
I didn't like dis n I want dress Anarkali types	shopping
12680 coimbatore to chennai travel date 09/09/2016 seat availability	travel
Remind me to call dr iyer at 10 am .	reminders
Railway ticket	travel
Seat no. Etc	travel
Show me loafers shoes under 800	shopping
Boi atm	nearby
I want timings of buses from ahmedabad to rajkot	travel
I need the order at 2 clk	food
Mumbai to Jaipur	travel
Tell me near by restaurant	food
Remind me that I have to fill petrol tomorrow morning.	reminders
Do we have a laptop repairing shop in my area.?	support
Remainder me now	reminders
Umm I want a pair of Nike basketball shoes uncommon one	shopping
Pet shops near me i want to buy a Labrador or golden retriever	shopping
Hiiii can u book for me dharshan tickets for pandaripuram	movies
I need SBI ATM for cash deposit	nearby
Show me t shirts	shopping
Nearby Cake shop	nearby
Hi, can you help me find the Following flight tix	travel
Please  suspend this reminder for water	reminders
A store where I can buy a mouse	shopping
Show me picture of iphone 7	shopping
I need to travel from goa busstation to goa beach vil.u help me for dat	travel
Wake me by 8am morning	reminders
Do you have any coupon code for barbeque nation	food
I want to know fare for adult from chennai to kolkata	travel
Cash deposit machine of punjab national bank	nearby
kon c train hai abhi ambala cantt to gzb/delhi 9am se pehle	travel
Nagaland  express	travel
Which movie theatre?	movies
Remind me to eat dinner in 15min	reminders
Can you please change my medicine reminder of morning to 10:30	reminders
Find about an absolute barbecue	food
Naturals ice cream closest to Ashok Garden Sewri	food
Some more shoes blue size nine Adidas, Reebok or Nike	shopping
Nearest Cash deposit machine	nearby
Today's sub is roasted chicken	food
Price ??	shopping
Iphone7	shopping
Can you cancel 630 am reminder?	reminders
Can u find if bus booking for 28th october is available	travel
Check out flight from Indore to jabalpur on 29Oct	travel
6 October	reminders
Remind me at 11:30 to get in touch with Meeseva Laxman Anna.	reminders
Date 17th	travel
Airline tacket	travel
It is required to get a notification sounds as unable to get proper reminder	reminders
Fine I would like to purchase above product	shopping
Aaikrupa cyber cafe is not ATM.	nearby
atm near saidabad colony	nearby
No need direct flights	travel
Vivo y51L i want information about this phone....	shopping
What is d offer in reliance jio sim?	recharge
7830683426 voda up West. I need STD Voda minutes pack. Any unlimited plan if it's der.	recharge
Vishal told you will get unlimited 2g @20kbps in airtel postpaid	recharge
Hi good morning.. Today I need a cab for seeing tourist places in Bangalore	travel
Cold drink offer on large bottles	food
Stop wake up alarm	reminders
How to know the data balance 2g in idea	recharge
Can you set it for everyday	reminders
Formal shoe	shopping
What's the cost of flight ticket from Kochi to Toronto	travel
U can get discounts on movie tickets?	movies
1 room, I have 3 kids	travel
Contact number of nashik road travels	travel
Hello. I'm looking for a mobile charger	shopping
Headphones offer	shopping
Book movie tickets	movies
I want to set a daily reminder for the medicines	reminders
I want to watch pink	movies
I want to buy a battery for my phone	shopping
boarding poins	travel
Find me train from jodhpur to hanumangarh. On 24 September	travel
Hey can you check some offers available today on dominos	food
Are there bus passes for buses in Mumbai?	travel
Machine is top load having two tub	support
Telugu	movies
Can you please find LG MAGNA H502F LCD with cash on delivery	shopping
Which Mobile phone	shopping
Nearest samsung service centre	support
Am looking for private cab service for 7 days. Journey will start from Amritsar - shimla-manali-chandigarh.	travel
Distance and fair for chandigarh to culcutta by air	travel
Mumbai to pune volvo bus	travel
Tarin no 22104 faizabad to mumbai... faizabad super fst exp... date 4 to 10 December coach sleeper...	travel
Can u tell me at time intercity express will reach at marwad junction ? Which goes from ajmer to ahmedabad	travel
Cheapest flight option from Kolkata to Chennai, on 17th/18th September	travel
Tickets price?	movies
Plumber	support
As183usb/2010	shopping
I want to know nearby nonveg restaurant	food
Which theatre	movies
Suggest me voi jeans please	shopping
Hi can you pls book a ticket for dodamane hudga in rockline mall on Sunday show	movies
How much is the tickets for sat show	movies
can u suggest me a good authentic bengali restaurant	food
I want web checkin for my flight from phuket to csia mumbai airport for today	travel
Pls stop all my reminders	reminders
Bus book karna hai	travel
Can u send me the direction to travel from my location to jspiders	travel
Samsung j5(2016)	shopping
Pls find subway	food
Hey, can you find me the cheapest flights available?	travel
Mangla lakshadweep... Coach position pls	travel
Call on 9987577786	reminders
Releince store	nearby
I need a driver for my car for a day	support
Red mi 3 prime	shopping
Fix	support
Rayban gogals	shopping
Want to know about food menu ...price of meals and booking chages ....for 2 persons	food
3 seats are confirmed?	travel
Hey can u tell me the fares, of a.c n sleeper tickets of train.. From jamnagar to surat on 15th late night or 16th sept early morning	travel
I have to watch Blindspot	movies
5 nov	reminders
I need an electrician near my location	support
Accha up ek 6000 ke under 2gb ram wala phone hoga	shopping
Reminder to order face wash	reminders
That I will show the TT in the train	travel
Hi...can u please tell the procedure to book hotel at vaishno devi	travel
Sir I want to know the arrival time and platform no. of this train from CTC	travel
Check fr mumbai to delhi	travel
Book train tickets for dharwad from bengaluru	travel
I want to buy cafrii	shopping
Wireless headset	shopping
I want to buy it online	shopping
Morning earliest train from kanpur to Delhi	travel
17205 2 tickets	movies
Holiday	travel
No I want in Samsung Galaxy	shopping
I need to book film ticket in Chennai for kidaru	movies
The guy came and said he will come back with the required part today or in a day or two depending upon availability	support
Is there any busses to jaggaiahpet from Hyderabad Ameerpet	travel
Price for various models in India	shopping
I need in gold colour on emi	shopping
Any travel package for Paris?	travel
KFC near by me	food
Can you find me unmarried couple hotels in bbsr	travel
Tell me the schedule of flight from johhanesburg to mumbai which will take off at 12 noon(gmt 2) today according to johhanes burg time zone	travel
I booked flight	travel
I'm traveling in train bro to Delhi	travel
Which seats	travel
How much would a travel package for Singapore cost?	travel
s der any bus fr sagar	travel
Hi which dtc bus goes from dwarka sec 23 to gpo kashmere gate	travel
Distance from karnal to jalandhar by car	travel
Hey can you tell me about some good headphones under 600 on amaozn	shopping
Wake up call for me at 6.00 am today	reminders
2G	recharge
Iphone 5s space grey cover for rs. 300	shopping
Hi [user.name], It's dinner time, get your assistant to order food for you right now! :)	food
Find ranchi to Mumbai	travel
Hey check out the trains between tiruvallur and walaja road	travel
Where is Canara bank in padivattam?	nearby
October 20	reminders
Product details?	shopping
can you plan a day or two trip from delhi within the budget of 5k	travel
Off my reminder	reminders
Lenevo service center	support
I want to buy memory card	shopping
Ok ....book 4 tickets for me	movies
Hey how to get my BSNL number recharge	recharge
Chennai to sabhari train on Saturday	travel
For bus ticket also you can...	travel
Movies in chennai	movies
Airline: Spicejet Airlines	travel
Hi, kindly cancel the reminder to drinks juice, the timings have changed.	reminders
Can u book a cab?	travel
How to stop my reminder	reminders
Plz provide me all details about iPhone 7 and iPhone 7 Plus	shopping
Please web check in	travel
Alchohal store	nearby
Please remind me as I have to take selfi stick from Car at 11.30 AM todat	reminders
But  I have  tatkal  quota	travel
Want to know trains from Bangalore to davangere for tomorrow	travel
Hey tell me about the specs of iphone 7s plus	shopping
Nearest ATM in narasipuram	nearby
Nearest Lyf mobile service center	support
Zahara.. Cancel my reminder	reminders
I want to book a cab for tomorrow	travel
Remove the alarm	reminders
Could you please tell me the order status?	food
Bro where can I get Pav Bhaji at this time?	food
He did, but he didn't repair the fridge	support
please tell me motorola service center	support
Vegetarian food only	food
I want to order nonveg pizza mania from dominos	food
Time of train	travel
Banda to jhanshi ke liye train	travel
Its midnight bus	travel
Bengali food festival I'm banjara hills	food
Kochi to Kannur bus ticket	travel
Give me some discount on doninoes pizza	food
Where can I get yummy, mouth watering, tasty, soft, tender, steamed, veg momos?	food
Internet Cafe	nearby
Yeah I want to order a pizza	food
i want iphone repair	shopping
Dth recharge tata sky	recharge
Can I attach a car to ola/Uber without myself driving the car, I don't want to drive the car or hire a driver. I want ola/Uber to take care of car and driver, and generate revenue for me.	travel
Show me the best bus price for Hyderabad to Mysore today	travel
Can u check for Ariel. And reliance.	recharge
When will nagercoil experience reach Bangalore	travel
I want to book flight ticket	travel
Hi bro, I'm getting notifications from Haptik at irrelevant timings. Please delete all my existing remainders and also wake up call	reminders
Dominos offers	food
Goa complete package for 2 people	travel
I want to buy white shoes	shopping
Ok i want a budget hotel at begumpet, hyderabad on 15th	travel
And same date at 7am	reminders
banks	nearby
Nearby sbi atm	nearby
Fare?	travel
Is this inclusive of flight	travel
Can you tell holiday package of bali island	travel
Pnr number 4535669196 .train num 16566 calicut to banaswadi Bangalore.....nashra pls give me the present status	travel
When it will reach. Jhansi	travel
Blackberry phone service center	support
Its time to wake up..	reminders
Set that fast	reminders
Sir I would like to know the travel package to visit ambala from pathankot	travel
Spa.	nearby
Hey...can you tell me where is oppo's service center ?	support
What are flight tickets from KOLKATA to GUWAHTI	travel
Fab...	movies
Looking for samsung ovens latest models	shopping
Hi I need to order breakfast	food
No hdfc	nearby
Sandals for 1yr baby girl	shopping
Hy which phone i should buy redmi 3s prime or redmi note 3?	shopping
Cargo pent	shopping
Can u please find me Pg for Rent in dharwad near Gandhi nagar	nearby
Name : Chaitanya Bulusu IndiGo PNR is EG1YTH- 6E 192 27Sep GOIBOM 1725/1845.	travel
Dont you book cabs	travel
I want to order from Oye24.{product_id:18254231,product_name:Oye24,api_id:,api_name:zomato}{carousel_cta}	food
What all trains are available from raipur to raigarh for 21/09/2016	travel
Please tell me distance between hotel royal park Mumbai to us consulate Mumbai	travel
Now at any general train available thirupathi to salem?	travel
He visited our place and inspected the TV.  He took photos inside the TV and collected Rs 250. He promised that he would convey the charges tomorrow after verifying the availability of spares in the Board. That's all for now.	support
I want dresses	shopping
Normal fruit carton 8 inches in height.	shopping
Stop calling me	reminders
Remind me to take sandal today at 22.00 hrs	reminders
Any Tamil movies near me?	movies
I wanna set reminder	reminders
Find me a hotel in mumbai	travel
I want to know Vodafone postpaid data plan for my number	recharge
Taj express nzm to gwl which platform number coming	travel
Goa to mumbai trains today n tmrw anytime..confirmed 2 tickets plz let us know	travel
Goa	travel
Can u book table for 6 in mainland China in Powai	food
